url,price,size,location,bedrooms,bathrooms,parking,scraped_at
https://www.property24.com/for-sale/honeydew-country-estate/paarl/western-cape/33199/115781025,R 2 690 000,231 m²,Honeydew Country Estate,2,2,4,2025-05-14T14:20:55.511697
https://www.property24.com/for-sale/klein-drakenstein/paarl/western-cape/8591/115558692,R 42 500 000,33 090 m²,Klein Drakenstein,N/A,N/A,N/A,2025-05-14T14:21:01.159923
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115778270,R 2 090 000,320 m²,Paarl North,2,2,3,2025-05-14T14:21:01.310650
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115792085,R 18 999 000,935 m²,Val de Vie Estate,4,4,4,2025-05-14T14:21:01.425241
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/113261788,R 8 700 000,1 357 m²,Val de Vie Estate,N/A,N/A,N/A,2025-05-14T14:21:01.476041
https://www.property24.com/for-sale/paarl-north/paarl/western-cape/8612/115779443,R 2 795 000,513 m²,Paarl North,3,2,4,2025-05-14T14:21:01.558355
https://www.property24.com/for-sale/sante-winelands-estate/paarl/western-cape/10771/115799177,R 21 750 000,15 645 m²,Sante Winelands Estate,5,5.5,10,2025-05-14T14:21:01.642674
https://www.property24.com/for-sale/de-zoete-inval/paarl/western-cape/8596/115752713,R 1 749 000,117 m²,De Zoete Inval,3,2,2,2025-05-14T14:21:01.741182
https://www.property24.com/for-sale/bergenzicht-estate/paarl/western-cape/17466/115784402,R 3 900 000,572 m²,Bergenzicht Estate,3,2,2,2025-05-14T14:21:01.858849
https://www.property24.com/for-sale/lemoenkloof/paarl/western-cape/8607/115547755,R 6 300 000,400 m²,Lemoenkloof,3,3,4,2025-05-14T14:21:01.942810
https://www.property24.com/for-sale/buitenverwagting/paarl/western-cape/16388/115674809,R 6 800 000,1 016 m²,Buitenverwagting,4,3,4,2025-05-14T14:21:02.059315
https://www.property24.com/for-sale/buitenverwagting/paarl/western-cape/16388/115831978,R 11 500 000,1 037 m²,Buitenverwagting,3,3.5,5,2025-05-14T14:21:02.158699
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115698870,R 14 995 000,1 103 m²,Val de Vie Estate,4,5,8,2025-05-14T14:21:02.259412
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115664484,,,,,,,2025-05-14T14:21:02.391506
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115605626,R 900 000,50 m²,Klein Parys,2,1,1,2025-05-14T14:21:02.475913
https://www.property24.com/for-sale/dalvale/paarl/western-cape/8625/115800062,R 1 299 000,334 m²,Dalvale,3,2,10,2025-05-14T14:21:02.575987
https://www.property24.com/for-sale/vrykyk/paarl/western-cape/8621/115699944,R 4 480 000,780 m²,Vrykyk,5,3,4,2025-05-14T14:21:02.664109
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115779391,R 21 000 000,866 m²,Val de Vie Estate,5,4.5,6,2025-05-14T14:21:02.765074
https://www.property24.com/for-sale/denneburg/paarl/western-cape/8597/115450897,R 4 999 999,684 m²,Denneburg,7,6,10,2025-05-14T14:21:02.893881
https://www.property24.com/for-sale/paarl-central/paarl/western-cape/8631/115479314,R 5 000 000,1 099 m²,Paarl Central,N/A,N/A,N/A,2025-05-14T14:21:02.960456
https://www.property24.com/for-sale/dal-josafat/paarl/western-cape/8595/115540678,R 29 400 000,5 735 m²,Dal Josafat,N/A,N/A,N/A,2025-05-14T14:21:03.024492
https://www.property24.com/for-sale/val-de-vie-estate/paarl/western-cape/11726/115670565,R 13 600 000,806 m²,Val de Vie Estate,4,4,4,2025-05-14T14:21:03.163362
https://www.property24.com/for-sale/winelands-estate/paarl/western-cape/12126/115661180,R 37 000 000,7 000 m²,Winelands Estate,5,6,8,2025-05-14T14:21:07.825396
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115648385,R 700 000,35 m²,Klein Parys,1,1,1,2025-05-14T14:21:07.991941
https://www.property24.com/for-sale/paarl-south/paarl/western-cape/8623/115692934,R 5 524 240,690 m²,Paarl South,4,3,4,2025-05-14T14:21:08.109120
https://www.property24.com/for-sale/klein-drakenstein/paarl/western-cape/8591/115790095,R 29 000 000,13.5 ha,Klein Drakenstein,N/A,N/A,N/A,2025-05-14T14:21:08.158696
https://www.property24.com/for-sale/klein-parys/paarl/western-cape/8605/115648397,R 640 000,32 m²,Klein Parys,1,1,1,2025-05-14T14:21:08.240610
